Target,Model,Accuracy,Precision,Recall,F1,ROC AUC
DUSKY COTTON BUG (%),xgboost,0.931,0.7454545454545455,0.4270833333333333,0.543046357615894,0.9393551806784661
DUSKY COTTON BUG (%),bagging,0.927,0.7346938775510204,0.375,0.496551724137931,0.9414350571533923
DUSKY COTTON BUG (%),voting,0.927,0.7169811320754716,0.3958333333333333,0.5100671140939598,0.9271639933628318
DUSKY COTTON BUG (%),stacking,0.934,0.7419354838709677,0.4791666666666667,0.5822784810126582,0.929082549778761
SBW (%),decision_tree,0.998,0.0,0.0,0.0,0.7439879759519038
SBW (%),random_forest,0.998,0.0,0.0,0.0,0.9694388777555111
SBW (%),adaboost,0.998,0.0,0.0,0.0,0.8592184368737475
SBW (%),svm,0.998,0.0,0.0,0.0,0.6352705410821644
SBW (%),knn,0.998,0.0,0.0,0.0,0.49498997995991983
SBW (%),xgboost,0.998,0.0,0.0,0.0,0.9764529058116233
SBW (%),bagging,0.998,0.0,0.0,0.0,0.9639278557114228
SBW (%),voting,0.998,0.0,0.0,0.0,0.9629258517034069
SBW (%),stacking,0.998,0.0,0.0,0.0,0.9807114228456915
PBW (%),decision_tree,0.861,0.7885714285714286,0.575,0.6650602409638554,0.9018530701754386
PBW (%),random_forest,0.871,0.8066298342541437,0.6083333333333333,0.6935866983372921,0.933421052631579
PBW (%),adaboost,0.869,0.7738693467336684,0.6416666666666667,0.7015945330296127,0.9219325657894737
PBW (%),svm,0.874,0.7663551401869159,0.6833333333333333,0.7224669603524229,0.9215296052631581
PBW (%),knn,0.864,0.8058823529411765,0.5708333333333333,0.6682926829268293,0.9112280701754386
PBW (%),xgboost,0.877,0.7969543147208121,0.6541666666666667,0.7185354691075515,0.9337116228070176
PBW (%),bagging,0.874,0.8131868131868132,0.6166666666666667,0.7014218009478673,0.9311485745614035
PBW (%),voting,0.885,0.8342245989304813,0.65,0.7306791569086651,0.9348135964912281
PBW (%),stacking,0.879,0.8082901554404145,0.65,0.7205542725173211,0.932593201754386
ABW (%),decision_tree,0.997,0.0,0.0,0.0,0.6574724172517553
ABW (%),random_forest,0.997,0.0,0.0,0.0,0.9652290203945169
ABW (%),adaboost,0.997,0.0,0.0,0.0,0.9518555667001004
ABW (%),svm,0.997,0.0,0.0,0.0,0.9144098963557339
ABW (%),knn,0.997,0.0,0.0,0.0,0.4729187562688064
ABW (%),xgboost,0.997,0.0,0.0,0.0,0.9117352056168506
ABW (%),bagging,0.997,0.0,0.0,0.0,0.8975259110665329
ABW (%),voting,0.997,0.0,0.0,0.0,0.9090605148779672
ABW (%),stacking,0.997,0.0,0.0,0.0,0.796890672016048
Army Worm (%),decision_tree,0.887,0.7446808510638298,0.25735294117647056,0.3825136612021858,0.8007769948257081
Army Worm (%),random_forest,0.892,0.7916666666666666,0.27941176470588236,0.41304347826086957,0.8779445806100218
Army Worm (%),adaboost,0.881,0.7931034482758621,0.16911764705882354,0.2787878787878788,0.8521624795751634
Army Worm (%),svm,0.892,0.6707317073170732,0.40441176470588236,0.5045871559633027,0.8344056372549019
Army Worm (%),knn,0.889,0.8571428571428571,0.22058823529411764,0.3508771929824561,0.8073895356753813
Army Worm (%),xgboost,0.895,0.803921568627451,0.3014705882352941,0.4385026737967914,0.8658769063180828
Army Worm (%),bagging,0.896,0.8636363636363636,0.27941176470588236,0.4222222222222222,0.8816976443355119
Army Worm (%),voting,0.899,0.7777777777777778,0.3602941176470588,0.49246231155778897,0.8612047249455338
Army Worm (%),stacking,0.891,0.651685393258427,0.4264705882352941,0.5155555555555555,0.8596558415032679
